Temperature,RMS,Peak,Health,Efficiency,Status,FaultType
30.49,0.221,0.335,85.1,96.0,HEALTHY,Healthy
35.27,0.249,0.377,82.7,95.2,HEALTHY,Healthy
28.86,0.205,0.309,86.3,96.3,HEALTHY,Healthy
34.93,0.175,0.267,88.2,96.9,HEALTHY,Healthy
38.65,0.662,0.985,47.7,83.7,WARNING,Imbalance
30.72,0.273,0.413,81.6,95.1,HEALTHY,Healthy
36.2,0.672,0.995,52.6,86.5,WARNING,Imbalance
52.58,0.652,1.108,15.3,67.2,CRITICAL,Critical
42.74,0.38,0.618,56.6,83.9,WARNING,Misalignment
37.35,0.411,0.631,67.0,89.8,WARNING,Bearing
33.49,0.273,0.416,81.6,95.1,HEALTHY,Healthy
29.14,0.26,0.392,82.6,95.3,HEALTHY,Healthy
43.92,0.455,0.722,49.2,81.1,WARNING,Misalignment
33.78,0.187,0.283,87.4,96.6,HEALTHY,Healthy
33.48,0.193,0.296,86.9,96.5,HEALTHY,Healthy
34.78,0.28,0.424,81.2,95.0,HEALTHY,Healthy
32.28,0.171,0.26,88.5,96.9,HEALTHY,Healthy
28.38,0.217,0.331,85.4,96.1,HEALTHY,Healthy
33.19,0.243,0.367,83.7,95.6,HEALTHY,Healthy
33.66,0.267,0.406,82.0,95.2,HEALTHY,Healthy
30.71,0.252,0.38,83.1,95.5,HEALTHY,Healthy
35.17,0.561,0.828,62.3,89.7,WARNING,Imbalance
29.55,0.201,0.304,86.5,96.4,HEALTHY,Healthy
35.87,0.607,0.906,57.5,88.0,WARNING,Imbalance
35.54,0.216,0.326,84.3,95.5,HEALTHY,Healthy
41.51,0.388,0.597,59.4,85.2,WARNING,Bearing
54.78,0.735,1.232,4.9,63.0,CRITICAL,Critical
39.67,0.63,0.934,47.7,83.1,WARNING,Imbalance
28.88,0.198,0.301,86.7,96.4,HEALTHY,Healthy
33.89,0.202,0.306,86.4,96.4,HEALTHY,Healthy
30.94,0.224,0.343,84.8,96.0,HEALTHY,Healthy
54.47,0.665,1.127,10.3,64.7,CRITICAL,Critical
33.11,0.25,0.378,83.2,95.5,HEALTHY,Healthy
28.03,0.212,0.322,85.7,96.2,HEALTHY,Healthy
29.62,0.201,0.307,86.4,96.4,HEALTHY,Healthy
31.73,0.223,0.34,85.0,96.0,HEALTHY,Healthy
39.53,0.396,0.611,63.2,87.4,WARNING,Bearing
54.21,0.655,1.118,11.4,65.2,CRITICAL,Critical
35.84,0.297,0.449,78.2,93.6,HEALTHY,Healthy
32.32,0.259,0.39,82.6,95.3,HEALTHY,Healthy
33.75,0.158,0.244,89.3,97.2,HEALTHY,Healthy
33.25,0.206,0.312,86.1,96.3,HEALTHY,Healthy
34.38,0.278,0.419,81.3,95.0,HEALTHY,Healthy
42.98,0.38,0.616,56.1,83.6,WARNING,Misalignment
35.52,0.597,0.882,59.1,88.6,WARNING,Imbalance
34.61,0.287,0.435,80.7,94.8,HEALTHY,Healthy
31.84,0.222,0.335,85.1,96.0,HEALTHY,Healthy
35.32,0.185,0.281,86.9,96.3,HEALTHY,Healthy
31.75,0.277,0.42,81.3,95.0,HEALTHY,Healthy
39.37,0.408,0.65,62.4,87.4,WARNING,Misalignment
40.91,0.407,0.631,59.3,85.6,WARNING,Bearing
30.86,0.161,0.244,89.2,97.1,HEALTHY,Healthy
32.74,0.186,0.284,87.4,96.7,HEALTHY,Healthy
28.71,0.24,0.364,83.9,95.7,HEALTHY,Healthy
39.75,0.604,0.891,49.3,83.4,WARNING,Imbalance
38.12,0.344,0.531,69.8,90.1,WARNING,Bearing
32.22,0.215,0.325,85.6,96.1,HEALTHY,Healthy
37.01,0.634,0.941,53.3,86.2,WARNING,Imbalance
29.63,0.268,0.404,82.0,95.2,HEALTHY,Healthy
30.65,0.226,0.342,84.8,95.9,HEALTHY,Healthy
32.17,0.152,0.232,89.7,97.3,HEALTHY,Healthy
31.66,0.266,0.404,82.1,95.2,HEALTHY,Healthy
32.82,0.232,0.35,84.4,95.8,HEALTHY,Healthy
35.02,0.281,0.424,81.1,94.9,HEALTHY,Healthy
37.93,0.388,0.593,67.3,89.5,WARNING,Bearing
35.29,0.3,0.453,79.2,94.2,HEALTHY,Healthy
39.59,0.341,0.526,66.8,88.4,WARNING,Bearing
40.02,0.415,0.646,60.7,86.5,WARNING,Bearing
38.06,0.414,0.643,65.1,88.9,WARNING,Bearing
51.32,0.689,1.213,14.7,68.0,CRITICAL,Critical
32.1,0.25,0.38,83.2,95.5,HEALTHY,Healthy
36.37,0.578,0.852,58.5,87.9,WARNING,Imbalance
34.09,0.262,0.398,82.4,95.3,HEALTHY,Healthy
31.63,0.208,0.315,86.0,96.3,HEALTHY,Healthy
39.47,0.389,0.623,63.4,87.6,WARNING,Misalignment
34.33,0.254,0.386,82.9,95.4,HEALTHY,Healthy
35.66,0.209,0.319,84.5,95.5,HEALTHY,Healthy
28.14,0.159,0.243,89.2,97.1,HEALTHY,Healthy
29.87,0.188,0.287,87.3,96.6,HEALTHY,Healthy
39.95,0.413,0.634,61.2,86.6,WARNING,Bearing
40.59,0.358,0.557,63.3,86.8,WARNING,Bearing
35.97,0.233,0.354,82.2,94.6,HEALTHY,Healthy
39.48,0.393,0.63,63.1,87.6,WARNING,Misalignment
35.41,0.19,0.291,86.3,96.1,HEALTHY,Healthy
34.15,0.185,0.281,87.5,96.7,HEALTHY,Healthy
35.83,0.22,0.333,83.4,95.0,HEALTHY,Healthy
43.11,0.391,0.623,55.3,83.2,WARNING,Misalignment
33.73,0.256,0.39,82.8,95.4,HEALTHY,Healthy
35.96,0.547,0.815,61.3,89.0,WARNING,Imbalance
43.24,0.415,0.67,53.2,82.6,WARNING,Misalignment
41.07,0.358,0.551,62.4,86.3,WARNING,Bearing
33.17,0.244,0.373,83.5,95.6,HEALTHY,Healthy
36.38,0.556,0.823,59.9,88.3,WARNING,Imbalance
52.88,0.654,1.135,14.1,66.8,CRITICAL,Critical
37.46,0.393,0.602,68.0,90.0,WARNING,Bearing
34.09,0.237,0.36,84.0,95.7,HEALTHY,Healthy
35.52,0.264,0.398,81.1,94.6,HEALTHY,Healthy
33.79,0.271,0.411,81.8,95.1,HEALTHY,Healthy
30.67,0.194,0.295,86.9,96.5,HEALTHY,Healthy
35.22,0.277,0.417,80.9,94.7,HEALTHY,Healthy
32.82,0.248,0.375,83.3,95.5,HEALTHY,Healthy
43.19,0.416,0.667,53.3,82.7,WARNING,Misalignment
35.89,0.158,0.24,87.4,96.1,HEALTHY,Healthy
39.7,0.605,0.901,49.2,83.5,WARNING,Imbalance
35.65,0.245,0.372,82.1,94.8,HEALTHY,Healthy
33.97,0.27,0.407,81.9,95.1,HEALTHY,Healthy
42.57,0.39,0.623,56.5,83.9,WARNING,Misalignment
52.76,0.676,1.157,13.1,66.5,CRITICAL,Critical
29.54,0.186,0.282,87.5,96.7,HEALTHY,Healthy
40.87,0.412,0.641,59.1,85.5,WARNING,Bearing
32.0,0.236,0.356,84.2,95.8,HEALTHY,Healthy
52.1,0.735,1.294,9.7,66.3,CRITICAL,Critical
41.34,0.452,0.717,55.1,84.3,WARNING,Misalignment
31.0,0.192,0.294,87.0,96.5,HEALTHY,Healthy
35.83,0.174,0.266,86.4,95.9,HEALTHY,Healthy
32.03,0.269,0.408,81.9,95.2,HEALTHY,Healthy
29.43,0.293,0.444,80.3,94.7,HEALTHY,Healthy
32.73,0.185,0.281,87.5,96.7,HEALTHY,Healthy
39.27,0.63,0.934,48.6,83.5,WARNING,Imbalance
28.73,0.242,0.367,83.7,95.7,HEALTHY,Healthy
35.93,0.176,0.269,86.1,95.7,HEALTHY,Healthy
35.03,0.551,0.815,63.2,90.0,WARNING,Imbalance
28.68,0.234,0.354,84.3,95.8,HEALTHY,Healthy
40.08,0.356,0.554,64.6,87.5,WARNING,Bearing
30.68,0.259,0.393,82.6,95.3,HEALTHY,Healthy
39.59,0.561,0.834,52.4,84.4,WARNING,Imbalance
40.13,0.393,0.606,62.1,86.8,WARNING,Bearing
29.52,0.261,0.394,82.5,95.3,HEALTHY,Healthy
33.76,0.262,0.397,82.4,95.3,HEALTHY,Healthy
39.69,0.582,0.858,51.0,83.9,WARNING,Imbalance
40.57,0.376,0.603,61.9,86.6,WARNING,Misalignment
32.96,0.198,0.302,86.6,96.4,HEALTHY,Healthy
32.35,0.25,0.379,83.2,95.5,HEALTHY,Healthy
33.51,0.281,0.425,81.1,94.9,HEALTHY,Healthy
38.86,0.315,0.486,70.2,89.7,WARNING,Bearing
37.77,0.326,0.516,71.6,90.8,WARNING,Bearing
40.88,0.382,0.617,60.7,86.1,WARNING,Misalignment
31.72,0.186,0.282,87.5,96.7,HEALTHY,Healthy
41.32,0.333,0.515,63.5,86.4,WARNING,Bearing
33.36,0.205,0.31,86.2,96.3,HEALTHY,Healthy
34.86,0.299,0.45,79.9,94.6,HEALTHY,Healthy
42.16,0.388,0.62,57.6,84.4,WARNING,Misalignment
29.0,0.288,0.437,80.6,94.8,HEALTHY,Healthy
39.94,0.537,0.796,53.3,84.4,WARNING,Imbalance
35.43,0.269,0.409,81.0,94.7,HEALTHY,Healthy
32.23,0.208,0.316,86.0,96.3,HEALTHY,Healthy
47.27,0.562,0.925,33.9,75.1,CRITICAL,Bearing
30.18,0.264,0.401,82.2,95.3,HEALTHY,Healthy
33.49,0.228,0.345,84.7,95.9,HEALTHY,Healthy
33.05,0.279,0.42,81.3,95.0,HEALTHY,Healthy
33.7,0.287,0.434,80.7,94.8,HEALTHY,Healthy
33.77,0.217,0.329,85.4,96.1,HEALTHY,Healthy
41.66,0.457,0.723,54.1,83.8,WARNING,Misalignment
31.21,0.25,0.378,83.2,95.5,HEALTHY,Healthy
28.04,0.191,0.29,87.2,96.6,HEALTHY,Healthy
41.87,0.412,0.632,57.0,84.3,WARNING,Bearing
29.5,0.249,0.375,83.3,95.5,HEALTHY,Healthy
37.7,0.353,0.545,70.1,90.4,WARNING,Bearing
33.69,0.256,0.386,82.8,95.4,HEALTHY,Healthy
34.13,0.269,0.408,81.9,95.2,HEALTHY,Healthy
38.93,0.542,0.8,55.3,85.5,WARNING,Imbalance
37.08,0.369,0.574,70.3,90.9,WARNING,Bearing
46.29,0.621,0.965,33.0,75.3,CRITICAL,Bearing
40.29,0.341,0.526,65.2,87.5,WARNING,Bearing
30.04,0.274,0.413,81.6,95.1,HEALTHY,Healthy
34.77,0.173,0.262,88.4,96.9,HEALTHY,Healthy
38.3,0.371,0.574,67.6,89.4,WARNING,Bearing
28.26,0.217,0.328,85.4,96.1,HEALTHY,Healthy
35.32,0.176,0.268,87.4,96.4,HEALTHY,Healthy
41.79,0.44,0.698,54.9,83.9,WARNING,Misalignment
52.34,0.702,1.196,12.2,66.6,CRITICAL,Critical
33.71,0.282,0.423,81.1,94.9,HEALTHY,Healthy
36.19,0.545,0.804,61.1,88.8,WARNING,Imbalance
33.11,0.158,0.242,89.3,97.2,HEALTHY,Healthy
39.3,0.335,0.519,67.8,88.8,WARNING,Bearing
33.07,0.152,0.232,89.7,97.3,HEALTHY,Healthy
39.79,0.432,0.684,59.9,86.5,WARNING,Misalignment
46.98,0.565,0.91,34.7,75.4,CRITICAL,Bearing
41.6,0.313,0.494,64.0,86.4,WARNING,Bearing
36.84,0.581,0.861,57.2,87.3,WARNING,Imbalance
37.57,0.368,0.569,69.4,90.3,WARNING,Bearing
51.67,0.659,1.177,15.8,68.1,CRITICAL,Critical
32.61,0.24,0.364,83.8,95.7,HEALTHY,Healthy
32.18,0.231,0.349,84.5,95.8,HEALTHY,Healthy
32.6,0.181,0.273,87.9,96.7,HEALTHY,Healthy
31.69,0.165,0.251,88.9,97.0,HEALTHY,Healthy
33.29,0.271,0.409,81.8,95.1,HEALTHY,Healthy
32.66,0.214,0.326,85.6,96.1,HEALTHY,Healthy
29.91,0.261,0.396,82.4,95.3,HEALTHY,Healthy
35.35,0.188,0.286,86.5,96.2,HEALTHY,Healthy
39.23,0.58,0.872,51.8,84.5,WARNING,Imbalance
37.7,0.542,0.799,58.0,87.0,WARNING,Imbalance
42.71,0.439,0.695,53.0,82.8,WARNING,Misalignment
29.45,0.18,0.275,87.9,96.8,HEALTHY,Healthy
28.43,0.205,0.313,86.1,96.3,HEALTHY,Healthy
35.27,0.2,0.303,85.9,96.1,HEALTHY,Healthy
39.44,0.345,0.531,66.9,88.5,WARNING,Bearing
28.5,0.254,0.383,83.0,95.4,HEALTHY,Healthy
53.45,0.697,1.178,10.3,65.3,CRITICAL,Critical
34.54,0.303,0.458,79.6,94.5,HEALTHY,Healthy
35.69,0.267,0.402,80.6,94.4,HEALTHY,Healthy
31.47,0.204,0.309,86.3,96.3,HEALTHY,Healthy
38.2,0.351,0.539,69.2,89.8,WARNING,Bearing
34.62,0.231,0.35,84.4,95.8,HEALTHY,Healthy
37.16,0.388,0.598,69.0,90.4,WARNING,Bearing
30.58,0.284,0.429,80.9,94.9,HEALTHY,Healthy
54.24,0.726,1.263,5.9,63.8,CRITICAL,Critical
34.08,0.291,0.441,80.4,94.8,HEALTHY,Healthy
28.92,0.231,0.348,84.5,95.8,HEALTHY,Healthy
30.35,0.241,0.369,83.7,95.7,HEALTHY,Healthy
28.67,0.279,0.423,81.2,95.0,HEALTHY,Healthy
33.04,0.223,0.338,85.0,96.0,HEALTHY,Healthy
31.0,0.262,0.396,82.4,95.3,HEALTHY,Healthy
32.02,0.174,0.265,88.3,96.9,HEALTHY,Healthy
33.04,0.18,0.276,87.8,96.8,HEALTHY,Healthy
35.69,0.59,0.886,58.9,88.5,WARNING,Imbalance
34.34,0.291,0.44,80.4,94.8,HEALTHY,Healthy
31.84,0.176,0.269,88.1,96.8,HEALTHY,Healthy
29.81,0.165,0.251,88.9,97.0,HEALTHY,Healthy
28.27,0.255,0.384,82.9,95.4,HEALTHY,Healthy
54.5,0.692,1.162,8.5,64.1,CRITICAL,Critical
28.42,0.196,0.298,86.8,96.5,HEALTHY,Healthy
37.79,0.56,0.828,56.5,86.6,WARNING,Imbalance
34.02,0.162,0.248,89.1,97.1,HEALTHY,Healthy
38.97,0.611,0.926,50.2,84.2,WARNING,Imbalance
34.4,0.189,0.288,87.2,96.6,HEALTHY,Healthy
32.21,0.217,0.33,85.4,96.1,HEALTHY,Healthy
29.86,0.178,0.27,88.0,96.8,HEALTHY,Healthy
32.62,0.188,0.287,87.3,96.6,HEALTHY,Healthy
28.01,0.245,0.37,83.5,95.6,HEALTHY,Healthy
35.02,0.177,0.269,88.0,96.8,HEALTHY,Healthy
33.67,0.284,0.429,80.9,94.9,HEALTHY,Healthy
41.27,0.334,0.541,63.1,86.5,WARNING,Misalignment
35.55,0.194,0.294,85.7,95.8,HEALTHY,Healthy
40.38,0.377,0.579,62.7,86.8,WARNING,Bearing
35.19,0.212,0.32,85.3,96.0,HEALTHY,Healthy
39.21,0.345,0.533,67.4,88.7,WARNING,Bearing
33.34,0.223,0.338,85.0,96.0,HEALTHY,Healthy
46.66,0.752,1.17,23.2,72.5,CRITICAL,Imbalance
33.08,0.248,0.375,83.4,95.5,HEALTHY,Healthy
43.41,0.439,0.698,51.4,82.0,WARNING,Misalignment
52.36,0.683,1.152,13.8,66.9,CRITICAL,Critical
34.55,0.225,0.341,84.9,96.0,HEALTHY,Healthy
32.14,0.162,0.247,89.1,97.1,HEALTHY,Healthy
35.29,0.186,0.282,86.8,96.3,HEALTHY,Healthy
48.45,0.572,0.882,31.7,73.6,CRITICAL,Bearing
28.1,0.29,0.436,80.6,94.8,HEALTHY,Healthy
30.16,0.249,0.378,83.2,95.5,HEALTHY,Healthy
51.87,0.606,0.99,20.8,68.8,CRITICAL,Misalignment
29.99,0.176,0.266,88.2,96.8,HEALTHY,Healthy
32.33,0.188,0.285,87.3,96.6,HEALTHY,Healthy
53.93,0.725,1.287,6.2,64.2,CRITICAL,Critical
40.08,0.457,0.738,57.2,85.7,WARNING,Misalignment
39.74,0.566,0.836,51.9,84.1,WARNING,Imbalance
40.91,0.357,0.575,62.4,86.5,WARNING,Misalignment
35.69,0.564,0.834,60.9,89.0,WARNING,Imbalance
35.16,0.293,0.442,80.0,94.5,HEALTHY,Healthy
34.78,0.186,0.283,87.5,96.7,HEALTHY,Healthy
31.54,0.232,0.355,84.3,95.8,HEALTHY,Healthy
30.61,0.254,0.382,83.0,95.4,HEALTHY,Healthy
39.83,0.427,0.686,59.9,86.5,WARNING,Misalignment
34.58,0.194,0.296,86.9,96.5,HEALTHY,Healthy
34.14,0.202,0.306,86.4,96.4,HEALTHY,Healthy
30.81,0.176,0.269,88.1,96.8,HEALTHY,Healthy
53.77,0.652,1.103,12.8,65.7,CRITICAL,Critical
51.19,0.705,1.2,14.6,67.9,CRITICAL,Critical
33.94,0.263,0.398,82.3,95.3,HEALTHY,Healthy
34.18,0.167,0.254,88.7,97.0,HEALTHY,Healthy
35.27,0.295,0.446,79.6,94.4,HEALTHY,Healthy
35.47,0.221,0.334,84.1,95.4,HEALTHY,Healthy
29.59,0.192,0.294,87.0,96.5,HEALTHY,Healthy
31.67,0.24,0.365,83.8,95.7,HEALTHY,Healthy
37.8,0.376,0.578,68.4,89.9,WARNING,Bearing
37.15,0.419,0.642,66.9,89.9,WARNING,Bearing
33.46,0.262,0.396,82.4,95.3,HEALTHY,Healthy
32.9,0.19,0.291,87.2,96.6,HEALTHY,Healthy
31.24,0.197,0.303,86.7,96.5,HEALTHY,Healthy
53.0,0.629,1.075,15.9,67.1,CRITICAL,Critical
39.08,0.543,0.804,54.8,85.3,WARNING,Imbalance
37.69,0.386,0.593,68.0,89.8,WARNING,Bearing
35.37,0.296,0.446,79.3,94.2,HEALTHY,Healthy
35.66,0.261,0.394,81.0,94.5,HEALTHY,Healthy
38.32,0.559,0.825,55.5,86.0,WARNING,Imbalance
29.24,0.187,0.284,87.4,96.6,HEALTHY,Healthy
35.62,0.244,0.371,82.2,94.9,HEALTHY,Healthy
35.85,0.267,0.406,80.1,94.2,HEALTHY,Healthy
38.63,0.643,0.959,49.0,84.1,WARNING,Imbalance
29.76,0.194,0.295,87.0,96.5,HEALTHY,Healthy
39.08,0.342,0.534,67.8,89.0,WARNING,Bearing
41.19,0.403,0.634,58.8,85.3,WARNING,Bearing
46.52,0.742,1.128,24.6,72.8,CRITICAL,Imbalance
35.75,0.156,0.24,87.8,96.3,HEALTHY,Healthy
39.63,0.411,0.659,61.5,87.0,WARNING,Misalignment
35.15,0.262,0.395,82.1,95.1,HEALTHY,Healthy
48.75,0.573,0.89,30.8,73.2,CRITICAL,Bearing
41.28,0.373,0.575,60.9,85.8,WARNING,Bearing
44.48,0.735,1.166,28.8,75.4,WARNING,Imbalance
40.72,0.451,0.716,56.5,85.0,WARNING,Misalignment
28.14,0.28,0.423,81.2,95.0,HEALTHY,Healthy
32.31,0.231,0.35,84.5,95.8,HEALTHY,Healthy
33.9,0.168,0.257,88.7,97.0,HEALTHY,Healthy
39.02,0.36,0.554,66.8,88.7,WARNING,Bearing
36.15,0.548,0.806,61.1,88.8,WARNING,Imbalance
32.84,0.221,0.334,85.1,96.0,HEALTHY,Healthy
28.09,0.175,0.267,88.2,96.9,HEALTHY,Healthy
29.23,0.236,0.357,84.1,95.8,HEALTHY,Healthy
33.38,0.194,0.296,86.9,96.5,HEALTHY,Healthy
34.1,0.274,0.413,81.6,95.1,HEALTHY,Healthy
36.29,0.591,0.876,57.7,87.8,WARNING,Imbalance
31.03,0.288,0.435,80.7,94.8,HEALTHY,Healthy
40.96,0.388,0.62,60.2,85.9,WARNING,Misalignment
34.5,0.23,0.348,84.5,95.9,HEALTHY,Healthy
31.64,0.258,0.391,82.6,95.4,HEALTHY,Healthy
28.94,0.166,0.252,88.8,97.0,HEALTHY,Healthy
32.8,0.215,0.329,85.5,96.1,HEALTHY,Healthy
28.38,0.192,0.292,87.1,96.5,HEALTHY,Healthy
30.31,0.183,0.279,87.6,96.7,HEALTHY,Healthy
50.25,0.64,1.09,21.2,70.2,CRITICAL,Critical
41.29,0.348,0.535,62.6,86.2,WARNING,Bearing
39.26,0.612,0.902,49.9,83.9,WARNING,Imbalance
41.52,0.41,0.653,57.5,84.8,WARNING,Misalignment
34.57,0.178,0.271,88.0,96.8,HEALTHY,Healthy
49.35,0.543,0.839,31.6,73.0,CRITICAL,Bearing
32.5,0.245,0.371,83.5,95.6,HEALTHY,Healthy
29.73,0.223,0.34,85.0,96.0,HEALTHY,Healthy
35.31,0.238,0.358,83.4,95.3,HEALTHY,Healthy
29.5,0.278,0.42,81.3,95.0,HEALTHY,Healthy
29.07,0.195,0.296,86.9,96.5,HEALTHY,Healthy
31.82,0.196,0.297,86.8,96.5,HEALTHY,Healthy
35.29,0.205,0.311,85.6,96.0,HEALTHY,Healthy
38.28,0.543,0.804,56.6,86.3,WARNING,Imbalance
31.31,0.296,0.448,80.1,94.7,HEALTHY,Healthy
35.23,0.29,0.44,80.0,94.5,HEALTHY,Healthy
53.17,0.745,1.244,7.8,64.8,CRITICAL,Critical
30.58,0.262,0.397,82.4,95.3,HEALTHY,Healthy
29.08,0.257,0.389,82.7,95.4,HEALTHY,Healthy
35.71,0.205,0.314,84.6,95.5,HEALTHY,Healthy
35.33,0.269,0.407,81.2,94.8,HEALTHY,Healthy
30.13,0.171,0.262,88.4,96.9,HEALTHY,Healthy
30.44,0.305,0.46,79.5,94.5,HEALTHY,Healthy
33.01,0.188,0.284,87.4,96.6,HEALTHY,Healthy
28.91,0.164,0.251,88.9,97.1,HEALTHY,Healthy
33.33,0.281,0.425,81.1,94.9,HEALTHY,Healthy
33.0,0.245,0.372,83.5,95.6,HEALTHY,Healthy
40.62,0.394,0.604,61.0,86.2,WARNING,Bearing
29.47,0.219,0.336,85.2,96.1,HEALTHY,Healthy
35.24,0.228,0.347,84.1,95.6,HEALTHY,Healthy
31.85,0.231,0.349,84.5,95.8,HEALTHY,Healthy
38.76,0.425,0.664,62.8,87.8,WARNING,Bearing
29.72,0.163,0.249,89.0,97.1,HEALTHY,Healthy
31.12,0.291,0.437,80.5,94.8,HEALTHY,Healthy
28.81,0.215,0.328,85.5,96.1,HEALTHY,Healthy
33.17,0.281,0.425,81.1,94.9,HEALTHY,Healthy
39.8,0.388,0.622,62.7,87.3,WARNING,Misalignment
41.95,0.328,0.508,62.4,85.8,WARNING,Bearing
50.83,0.72,1.257,13.8,68.0,CRITICAL,Critical
31.65,0.199,0.301,86.6,96.4,HEALTHY,Healthy
42.92,0.383,0.62,56.1,83.6,WARNING,Misalignment
31.4,0.194,0.295,86.9,96.5,HEALTHY,Healthy
50.54,0.659,1.126,19.2,69.5,CRITICAL,Critical
28.4,0.237,0.359,84.1,95.7,HEALTHY,Healthy
33.67,0.197,0.3,86.7,96.4,HEALTHY,Healthy
37.17,0.396,0.606,68.5,90.3,WARNING,Bearing
30.71,0.208,0.315,86.0,96.3,HEALTHY,Healthy
41.02,0.381,0.613,60.5,85.9,WARNING,Misalignment
29.62,0.273,0.41,81.7,95.1,HEALTHY,Healthy
35.16,0.267,0.404,81.7,95.0,HEALTHY,Healthy
37.83,0.628,0.931,51.9,85.3,WARNING,Imbalance
30.96,0.209,0.319,85.9,96.2,HEALTHY,Healthy
29.49,0.261,0.397,82.4,95.3,HEALTHY,Healthy
31.49,0.164,0.25,89.0,97.1,HEALTHY,Healthy
